dates;spei01;prov
16/05/1917;-0.2;BIVG
16/06/1917;0.2;BIVG
16/07/1917;1.3;BIVG
16/08/1917;1.2;BIVG
16/09/1917;-1.1;BIVG
16/10/1917;1.9;BIVG
16/11/1917;-0.4;BIVG
16/12/1917;-1.3;BIVG
16/01/1918;-0.6;BIVG
15/02/1918;-1.2;BIVG
16/03/1918;-0.6;BIVG
16/04/1918;1.5;BIVG
16/05/1918;-0.6;BIVG
16/06/1918;0.5;BIVG
16/07/1918;-0.6;BIVG
16/08/1918;-0.9;BIVG
16/09/1918;1.1;BIVG
16/10/1918;-0.3;BIVG
16/11/1918;-0.3;BIVG
16/12/1918;1.7;BIVG
16/01/1919;0;BIVG
15/02/1919;1.3;BIVG
16/03/1919;1.4;BIVG
16/04/1919;1.2;BIVG
16/05/1919;-1.2;BIVG
16/06/1919;-1.2;BIVG
16/07/1919;1.1;BIVG
16/08/1919;-1.6;BIVG
16/09/1919;-0.6;BIVG
16/10/1919;-0.1;BIVG
16/11/1919;1.5;BIVG
16/12/1919;1.5;BIVG
16/01/1920;-0.4;BIVG
15/02/1920;-1.7;BIVG
16/03/1920;1.1;BIVG
16/04/1920;0.7;BIVG
16/05/1920;-0.8;BIVG
16/06/1920;-0.5;BIVG
16/07/1920;0.6;BIVG
16/08/1920;-0.3;BIVG
16/09/1920;0.9;BIVG
16/10/1920;-1.4;BIVG
16/11/1920;-2.2;BIVG
16/12/1920;-1.1;BIVG
16/01/1921;-0.6;BIVG
15/02/1921;-1.6;BIVG
16/03/1921;-1.4;BIVG
16/04/1921;-0.8;BIVG
16/05/1921;0.7;BIVG
16/06/1921;-1.2;BIVG
16/07/1921;-1.3;BIVG
16/08/1921;1.1;BIVG
16/09/1921;-0.8;BIVG
16/10/1921;-1.9;BIVG
16/11/1921;-1.1;BIVG
16/12/1921;-1.2;BIVG
16/01/1922;1.3;BIVG
15/02/1922;0;BIVG
16/03/1922;0.5;BIVG
16/04/1922;2.2;BIVG
16/05/1922;-1.7;BIVG
16/06/1922;-0.3;BIVG
16/07/1922;0.7;BIVG
16/08/1922;0.4;BIVG
16/09/1922;0.4;BIVG
16/10/1922;0.5;BIVG
16/11/1922;0.3;BIVG
16/12/1922;0.7;BIVG
16/01/1923;-0.6;BIVG
15/02/1923;1.2;BIVG
16/03/1923;0.2;BIVG
16/04/1923;0;BIVG
16/05/1923;0.6;BIVG
16/06/1923;-0.4;BIVG
16/07/1923;-1.3;BIVG
16/08/1923;-0.7;BIVG
16/09/1923;-0.4;BIVG
16/10/1923;1.7;BIVG
16/11/1923;0.9;BIVG
16/12/1923;1.5;BIVG
16/01/1924;-1;BIVG
15/02/1924;-0.2;BIVG
16/03/1924;-0.2;BIVG
16/04/1924;0;BIVG
16/05/1924;-0.7;BIVG
16/06/1924;-0.8;BIVG
16/07/1924;0.8;BIVG
16/08/1924;1.2;BIVG
16/09/1924;1;BIVG
16/10/1924;0.7;BIVG
16/11/1924;-1.1;BIVG
16/12/1924;-1.4;BIVG
16/01/1925;-1.6;BIVG
15/02/1925;0.4;BIVG
16/03/1925;-0.3;BIVG
16/04/1925;0.5;BIVG
16/05/1925;0.7;BIVG
16/06/1925;-1.5;BIVG
16/07/1925;1.2;BIVG
16/08/1925;1.1;BIVG
16/09/1925;1.1;BIVG
16/10/1925;-1.1;BIVG
16/11/1925;-0.1;BIVG
16/12/1925;0.6;BIVG
16/01/1926;0.3;BIVG
15/02/1926;-0.2;BIVG
16/03/1926;0.1;BIVG
16/04/1926;-0.5;BIVG
16/05/1926;1.6;BIVG
16/06/1926;0.8;BIVG
16/07/1926;-0.1;BIVG
16/08/1926;-1.2;BIVG
16/09/1926;-1.5;BIVG
16/10/1926;0.6;BIVG
16/11/1926;1;BIVG
16/12/1926;-1.6;BIVG
16/01/1927;0.5;BIVG
15/02/1927;-0.1;BIVG
16/03/1927;1.4;BIVG
16/04/1927;0.1;BIVG
16/05/1927;-1;BIVG
16/06/1927;0;BIVG
16/07/1927;1.2;BIVG
16/08/1927;1.5;BIVG
16/09/1927;1.1;BIVG
16/10/1927;-1.4;BIVG
16/11/1927;-0.1;BIVG
16/12/1927;-1.1;BIVG
16/01/1928;-0.1;BIVG
15/02/1928;0.1;BIVG
16/03/1928;0;BIVG
16/04/1928;0.5;BIVG
16/05/1928;0.7;BIVG
16/06/1928;-0.3;BIVG
16/07/1928;-1.9;BIVG
16/08/1928;-0.2;BIVG
16/09/1928;-0.9;BIVG
16/10/1928;1.3;BIVG
16/11/1928;1.5;BIVG
16/12/1928;-0.4;BIVG
16/01/1929;-1.4;BIVG
15/02/1929;-1;BIVG
16/03/1929;-1.6;BIVG
16/04/1929;0;BIVG
16/05/1929;-0.2;BIVG
16/06/1929;0.4;BIVG
16/07/1929;0.1;BIVG
16/08/1929;-0.9;BIVG
16/09/1929;-1.9;BIVG
16/10/1929;0.8;BIVG
16/11/1929;-0.7;BIVG
16/12/1929;1;BIVG
16/01/1930;-0.7;BIVG
15/02/1930;-0.8;BIVG
16/03/1930;0.2;BIVG
16/04/1930;0.5;BIVG
16/05/1930;1.6;BIVG
16/06/1930;0.2;BIVG
16/07/1930;1.5;BIVG
16/08/1930;0;BIVG
16/09/1930;0.9;BIVG
16/10/1930;1.6;BIVG
16/11/1930;0.8;BIVG
16/12/1930;-0.4;BIVG
16/01/1931;0.8;BIVG
15/02/1931;0.5;BIVG
16/03/1931;0.3;BIVG
16/04/1931;0.5;BIVG
16/05/1931;0.5;BIVG
16/06/1931;-1.3;BIVG
16/07/1931;1.3;BIVG
16/08/1931;1.8;BIVG
16/09/1931;0.7;BIVG
16/10/1931;-0.4;BIVG
16/11/1931;-0.6;BIVG
16/12/1931;-0.3;BIVG
16/01/1932;-0.2;BIVG
15/02/1932;-1.1;BIVG
16/03/1932;0.4;BIVG
16/04/1932;1.2;BIVG
16/05/1932;1.2;BIVG
16/06/1932;0.3;BIVG
16/07/1932;1.3;BIVG
16/08/1932;-1.4;BIVG
16/09/1932;0.3;BIVG
16/10/1932;0.9;BIVG
16/11/1932;-1.5;BIVG
16/12/1932;-1.4;BIVG
16/01/1933;-1.3;BIVG
15/02/1933;-0.3;BIVG
16/03/1933;-0.6;BIVG
16/04/1933;-1.1;BIVG
16/05/1933;0.6;BIVG
16/06/1933;1.4;BIVG
16/07/1933;-0.6;BIVG
16/08/1933;-1.4;BIVG
16/09/1933;0.7;BIVG
16/10/1933;0.7;BIVG
16/11/1933;0.1;BIVG
16/12/1933;-1.8;BIVG
16/01/1934;-0.1;BIVG
15/02/1934;-1.4;BIVG
16/03/1934;0.6;BIVG
