dates,spei01,provenance
1917-05-16,-0.2,BIVG
1917-06-16,0.2,BIVG
1917-07-16,1.3,BIVG
1917-08-16,1.2,BIVG
1917-09-16,-1.1,BIVG
1917-10-16,1.9,BIVG
1917-11-16,-0.4,BIVG
1917-12-16,-1.3,BIVG
1918-01-16,-0.6,BIVG
1918-02-15,-1.2,BIVG
1918-03-16,-0.6,BIVG
1918-04-16,1.5,BIVG
1918-05-16,-0.6,BIVG
1918-06-16,0.5,BIVG
1918-07-16,-0.6,BIVG
1918-08-16,-0.9,BIVG
1918-09-16,1.1,BIVG
1918-10-16,-0.3,BIVG
1918-11-16,-0.3,BIVG
1918-12-16,1.7,BIVG
1919-01-16,0,BIVG
1919-02-15,1.3,BIVG
1919-03-16,1.4,BIVG
1919-04-16,1.2,BIVG
1919-05-16,-1.2,BIVG
1919-06-16,-1.2,BIVG
1919-07-16,1.1,BIVG
1919-08-16,-1.6,BIVG
1919-09-16,-0.6,BIVG
1919-10-16,-0.1,BIVG
1919-11-16,1.5,BIVG
1919-12-16,1.5,BIVG
1920-01-16,-0.4,BIVG
1920-02-15,-1.7,BIVG
1920-03-16,1.1,BIVG
1920-04-16,0.7,BIVG
1920-05-16,-0.8,BIVG
1920-06-16,-0.5,BIVG
1920-07-16,0.6,BIVG
1920-08-16,-0.3,BIVG
1920-09-16,0.9,BIVG
1920-10-16,-1.4,BIVG
1920-11-16,-2.2,BIVG
1920-12-16,-1.1,BIVG
1921-01-16,-0.6,BIVG
1921-02-15,-1.6,BIVG
1921-03-16,-1.4,BIVG
1921-04-16,-0.8,BIVG
1921-05-16,0.7,BIVG
1921-06-16,-1.2,BIVG
1921-07-16,-1.3,BIVG
1921-08-16,1.1,BIVG
1921-09-16,-0.8,BIVG
1921-10-16,-1.9,BIVG
1921-11-16,-1.1,BIVG
1921-12-16,-1.2,BIVG
1922-01-16,1.3,BIVG
1922-02-15,0,BIVG
1922-03-16,0.5,BIVG
1922-04-16,2.2,BIVG
1922-05-16,-1.7,BIVG
1922-06-16,-0.3,BIVG
1922-07-16,0.7,BIVG
1922-08-16,0.4,BIVG
1922-09-16,0.4,BIVG
1922-10-16,0.5,BIVG
1922-11-16,0.3,BIVG
1922-12-16,0.7,BIVG
1923-01-16,-0.6,BIVG
1923-02-15,1.2,BIVG
1923-03-16,0.2,BIVG
1923-04-16,0,BIVG
1923-05-16,0.6,BIVG
1923-06-16,-0.4,BIVG
1923-07-16,-1.3,BIVG
1923-08-16,-0.7,BIVG
1923-09-16,-0.4,BIVG
1923-10-16,1.7,BIVG
1923-11-16,0.9,BIVG
1923-12-16,1.5,BIVG
1924-01-16,-1,BIVG
1924-02-15,-0.2,BIVG
1924-03-16,-0.2,BIVG
1924-04-16,0,BIVG
1924-05-16,-0.7,BIVG
1924-06-16,-0.8,BIVG
1924-07-16,0.8,BIVG
1924-08-16,1.2,BIVG
1924-09-16,1,BIVG
1924-10-16,0.7,BIVG
1924-11-16,-1.1,BIVG
1924-12-16,-1.4,BIVG
1925-01-16,-1.6,BIVG
1925-02-15,0.4,BIVG
1925-03-16,-0.3,BIVG
1925-04-16,0.5,BIVG
1925-05-16,0.7,BIVG
1925-06-16,-1.5,BIVG
1925-07-16,1.2,BIVG
1925-08-16,1.1,BIVG
1925-09-16,1.1,BIVG
1925-10-16,-1.1,BIVG
1925-11-16,-0.1,BIVG
1925-12-16,0.6,BIVG
1926-01-16,0.3,BIVG
1926-02-15,-0.2,BIVG
1926-03-16,0.1,BIVG
1926-04-16,-0.5,BIVG
1926-05-16,1.6,BIVG
1926-06-16,0.8,BIVG
1926-07-16,-0.1,BIVG
1926-08-16,-1.2,BIVG
1926-09-16,-1.5,BIVG
1926-10-16,0.6,BIVG
1926-11-16,1,BIVG
1926-12-16,-1.6,BIVG
1927-01-16,0.5,BIVG
1927-02-15,-0.1,BIVG
1927-03-16,1.4,BIVG
1927-04-16,0.1,BIVG
1927-05-16,-1,BIVG
1927-06-16,0,BIVG
1927-07-16,1.2,BIVG
1927-08-16,1.5,BIVG
1927-09-16,1.1,BIVG
1927-10-16,-1.4,BIVG
1927-11-16,-0.1,BIVG
1927-12-16,-1.1,BIVG
1928-01-16,-0.1,BIVG
1928-02-15,0.1,BIVG
1928-03-16,0,BIVG
1928-04-16,0.5,BIVG
1928-05-16,0.7,BIVG
1928-06-16,-0.3,BIVG
1928-07-16,-1.9,BIVG
1928-08-16,-0.2,BIVG
1928-09-16,-0.9,BIVG
1928-10-16,1.3,BIVG
1928-11-16,1.5,BIVG
1928-12-16,-0.4,BIVG
1929-01-16,-1.4,BIVG
1929-02-15,-1,BIVG
1929-03-16,-1.6,BIVG
1929-04-16,0,BIVG
1929-05-16,-0.2,BIVG
1929-06-16,0.4,BIVG
1929-07-16,0.1,BIVG
